Name,Symbol,Sector,Industry
SAP,SAP,Technology,Software Application
Siemens,SIEGY,Industrials,Specialty Industrial Machinery
Volkswagen,VOW3.DE,Consumer Cyclical,Auto Manufacturers
Allianz,ALIZF,Financial Services,Insuranceâ€”Diversified
Mercedes-Benz,MBG.DE,Consumer Cyclical,Auto Manufacturers
Bayer,BAYZF,Healthcare,Drug Manufacturers General
Siemens Healthineers,SEMHF,Healthcare,Medical Devices
Adidas,ADDDF,Consumer Cyclical,Footwear & Accessories
BioNTech,BNTX,Healthcare,Biotechnology
Deutsche Bank,DB,Financial Services,Banks Regional
PUMA,PUM.DE,Consumer Cyclical,Footwear & Accessories